week,task_id,task_label,task_prompt,source_document
1,1,Ordering Coffee at a Café,"You walk into a café to order coffee and food. Practise making casual and polite requests, asking about dietary options, prices, and recommendations.",Language Tasks.docx
1,2,Booking a Restaurant Table,"You want to book a table at a restaurant. Practise using polite and clear language to make a reservation and ask follow-up questions about menu options and dietary needs.",Language Tasks.docx
1,3,Returning or Exchanging Clothes,"You are visiting a clothing or shoe store to return or exchange a recent purchase and to ask about the store's policies. Practise explaining the reason for the return and confirming store conditions.",Language Tasks.docx
2,1,Visiting a Medical Clinic,"You are visiting a medical clinic or calling to make, change, or cancel an appointment. Check in, explain symptoms, ask for available times, or confirm details.",Language Tasks.docx
2,2,Visiting a Bank,"You are visiting a local bank branch or calling customer service to request help with everyday banking services such as opening an account, updating details, or asking about services.",Language Tasks.docx
2,3,Enquiring About a Rental Property,"You are calling, emailing, or visiting a real estate agency to ask about a rental property, attend an inspection, ask about the application process, or follow up on a submission.",Language Tasks.docx
3,1,Reporting an Internet Outage,"You are contacting your housing provider or Internet company to report that the Internet is not working. Describe the problem, ask for assistance, and check when it will be fixed.",Language Tasks.docx
3,2,Reporting a Lost Item,"You have lost something important and need to report it to a lost-and-found service or to a police station for a minor report. Practise speaking clearly and providing details.",Language Tasks.docx
3,3,Requesting Maintenance or Repairs,"Something is broken or needs fixing in your rental accommodation. You are contacting your property manager or landlord to request a repair.",Language Tasks.docx
3,4,Seeking Technical Support,"You are contacting customer support for a technical problem with your phone, computer, or an online service. Practise troubleshooting and asking for service options.",Language Tasks.docx
4,1,Discussing Study or Career Plans,"You are speaking with an academic advisor or career counsellor about your current study plans or future career options. Explain your situation and ask for advice.",Language Tasks.docx
4,2,Group Decisions and Negotiating,"You are part of a team working on a group project. Share opinions, agree or disagree politely, and negotiate roles, deadlines, or contributions.",Language Tasks.docx
4,3,Responding to Feedback,"You are participating in a feedback session with a teacher, manager, or supervisor. Listen actively, ask questions, respond respectfully, and reflect on ways to improve.",Language Tasks.docx
