student_id,num_dialogues,total_repairs,mean_repairs_per_dialogue,mean_turns_per_dialogue
11,1,5,5.0,86.0
9,8,31,3.88,70.0
36,8,28,3.5,56.88
44,12,32,2.67,32.83
16,12,32,2.67,63.17
6,8,19,2.38,27.75
22,8,19,2.38,43.25
26,6,14,2.33,54.83
28,12,26,2.17,57.42
24,8,17,2.12,61.62
43,13,25,1.92,40.38
7,9,16,1.78,27.67
12,9,16,1.78,34.67
18,13,23,1.77,38.92
31,8,14,1.75,39.75
34,11,18,1.64,70.27
5,8,13,1.62,49.38
32,12,18,1.5,28.42
50,8,12,1.5,65.0
21,11,16,1.45,43.45
38,8,11,1.38,22.12
1,12,16,1.33,41.75
45,8,9,1.12,21.5
37,8,9,1.12,30.62
47,10,10,1.0,24.1
33,8,8,1.0,36.12
8,11,10,0.91,36.55
4,10,9,0.9,39.0
25,8,7,0.88,44.88
39,12,10,0.83,36.5
30,12,10,0.83,22.92
46,9,7,0.78,44.11
2,8,6,0.75,23.12
42,6,4,0.67,49.0
20,12,8,0.67,20.0
13,9,6,0.67,62.0
23,12,8,0.67,53.83
29,8,5,0.62,40.25
41,8,5,0.62,20.12
35,10,6,0.6,61.9
3,7,4,0.57,40.29
17,11,6,0.55,27.36
40,8,3,0.38,28.62
15,8,3,0.38,20.88
19,13,5,0.38,45.77
49,8,3,0.38,37.25
14,12,2,0.17,45.58
27,13,2,0.15,19.31
10,3,0,0.0,28.0
48,8,0,0.0,20.88
