student_id,num_tasks,week_min,week_max,completed_weeks,total_repairs,mean_repairs_per_dialogue,mean_turns_per_dialogue,incomplete
27,13,1,4,4,2,0.15,19.31,False
19,13,1,4,4,5,0.38,45.77,False
18,13,1,4,4,23,1.77,38.92,False
43,13,1,4,4,25,1.92,40.38,False
1,12,1,4,4,16,1.33,41.75,False
32,12,1,4,4,18,1.5,28.42,False
30,12,1,4,4,10,0.83,22.92,False
28,12,1,4,4,26,2.17,57.42,False
39,12,1,4,4,10,0.83,36.5,False
23,12,1,4,4,8,0.67,53.83,False
20,12,1,4,4,8,0.67,20.0,False
44,12,1,4,4,32,2.67,32.83,False
14,12,1,4,4,2,0.17,45.58,False
16,12,1,4,4,32,2.67,63.17,False
34,11,1,4,4,18,1.64,70.27,False
21,11,1,4,4,16,1.45,43.45,False
17,11,1,4,4,6,0.55,27.36,False
8,11,1,4,4,10,0.91,36.55,False
47,10,1,4,4,10,1.0,24.1,False
4,10,1,4,4,9,0.9,39.0,False
35,10,1,4,4,6,0.6,61.9,False
13,9,1,4,4,6,0.67,62.0,False
12,9,1,4,4,16,1.78,34.67,False
46,9,1,4,4,7,0.78,44.11,False
7,9,1,4,4,16,1.78,27.67,False
45,8,1,4,4,9,1.12,21.5,False
41,8,1,4,4,5,0.62,20.12,False
40,8,1,4,4,3,0.38,28.62,False
38,8,1,4,4,11,1.38,22.12,False
48,8,1,4,4,0,0.0,20.88,False
37,8,1,4,4,9,1.12,30.62,False
36,8,1,4,4,28,3.5,56.88,False
49,8,1,4,4,3,0.38,37.25,False
50,8,1,4,4,12,1.5,65.0,False
33,8,1,4,4,8,1.0,36.12,False
31,8,1,4,4,14,1.75,39.75,False
29,8,1,4,4,5,0.62,40.25,False
2,8,1,4,4,6,0.75,23.12,False
25,8,1,4,4,7,0.88,44.88,False
24,8,1,4,4,17,2.12,61.62,False
22,8,1,4,4,19,2.38,43.25,False
15,8,1,4,4,3,0.38,20.88,False
9,8,1,4,4,31,3.88,70.0,False
6,8,1,4,4,19,2.38,27.75,False
5,8,1,4,4,13,1.62,49.38,False
3,7,1,4,4,4,0.57,40.29,False
42,6,1,2,2,4,0.67,49.0,True
26,6,3,4,2,14,2.33,54.83,True
10,3,1,1,1,0,0.0,28.0,True
11,1,1,1,1,5,5.0,86.0,True
